neighborhood,borough,postal_codes,assemblyDistrict,communityDistrict,congressionalDistrict,councilDistrict,precinct,stateSenateDistrict,longitude,latitude,loc,entityTitle,@context,@type,@id
"Mill Basin","Brooklyn","11234","59","318,356","8","46","63","22,19","-73.911342784143315","40.610055917323074","[ -73.91134278414332, 40.61005591732307 ]","Mill_Basin","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Mill_Basin"
"South Slope","Brooklyn","11215","44,51,52","306,307,355","9,7","39,38","72,78","20,21","-73.984969332219066","40.664148199917086","[ -73.98496933221907, 40.66414819991709 ]","South_Slope","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/South_Slope"
"Gerritsen Beach","Brooklyn","11229,11234,11235","41,59","318,315,356","9,8","46","61,63","22,19","-73.921535656097134","40.595287039059613","[ -73.92153565609713, 40.59528703905961 ]","Gerritsen_Beach","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Gerritsen_Beach"
"Brighton Beach","Brooklyn","11214,11223,11224,11235","45,46","313,315","11,8","47,48","60,61","22,23","-73.968079584904558","40.57834278966623","[ -73.96807958490456, 40.57834278966623 ]","Brighton_Beach","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Brighton_Beach"
"Kensington","Brooklyn","11218,11230,11232","48,44,42,51","312,307,314","10,9,7","44,39,40,38","66,70,72","17,21","-73.975656843845258","40.639504813520354","[ -73.97565684384526, 40.63950481352035 ]","Kensington","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Kensington"
"Sea Gate","Brooklyn","11224","46","313","8","47","60","23","-74.007338118612054","40.576770567403095","[ -74.00733811861205, 40.57677056740309 ]","Sea_Gate","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Sea_Gate"
"Plum Beach","Brooklyn","11235","59","318,315,356","8","46","61","22","-73.917526725762812","40.583231096382704","[ -73.91752672576281, 40.5832310963827 ]","Plum_Beach","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Plum_Beach"
"Midwood","Brooklyn","11204,11210,11223,11229,11230,11234","48,41,44,42,45","311,312,318,315,314","10,11,9","44,45,40,46,48","61,62,63,66,70","17,22,21,19","-73.961055764833048","40.620411615713671","[ -73.96105576483305, 40.62041161571367 ]","Midwood","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Midwood"
"Gowanus","Brooklyn","11201,11215,11217,11231","51,52","306,307,302","10,9,7","39,38,33","72,76,78,84","20,21,25,26","-73.990945044739775","40.675861639246001","[ -73.99094504473977, 40.675861639246 ]","Gowanus","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Gowanus"
"Fulton Ferry","Brooklyn","11201","65,52","302","10,7","33","84","26","-73.993765830945264","40.702411379286268","[ -73.99376583094526, 40.70241137928627 ]","Fulton_Ferry","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Fulton_Ferry"
"Sheepshead Bay","Brooklyn","11210,11223,11229,11230,11234,11235","41,59,45,46","313,312,318,315,356,314","10,11,9,8","44,45,47,46,48","60,61,63,66,70","17,22,23,19","-73.949557729090074","40.596150457288303","[ -73.94955772909007, 40.5961504572883 ]","Sheepshead_Bay","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Sheepshead_Bay"
"Bergen Beach","Brooklyn","11234,11236","59","318,356","8","46","63,69","21,19","-73.903981637878005","40.618793719171059","[ -73.903981637878, 40.61879371917106 ]","Bergen_Beach","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Bergen_Beach"
"Marine Park","Brooklyn","11210,11229,11234","41,59,42","318,315","9,8","45,46","61,63","17,22,19","-73.934598189099134","40.611828208332774","[ -73.93459818909913, 40.61182820833277 ]","Marine_Park","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Marine_Park"
"Bay Ridge","Brooklyn","11209,11220,11228","49,64,51,46","307,310","10,11,7","43,38","68,72","22,23","-74.028250776551332","40.631120107963589","[ -74.02825077655133, 40.63112010796359 ]","Bay_Ridge","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Bay_Ridge"
"DUMBO","Brooklyn","11201","52","302","7","35,33","84","26","-73.988575015004429","40.703215323727832","[ -73.98857501500443, 40.70321532372783 ]","DUMBO","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/DUMBO"
"Clinton Hill","Brooklyn","11205,11238,11251","50,57","303,308,302","7,8","36,35,33","77,79,88","25,26","-73.964484560260416","40.689283943929084","[ -73.96448456026042, 40.68928394392908 ]","Clinton_Hill","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Clinton_Hill"
"Navy Yard","Brooklyn","11201,11205,11211,11251","50,57,52","301,302","7,8","35,33","84,88,90","25,26","-73.97229659393382","40.701979431518282","[ -73.97229659393382, 40.70197943151828 ]","Navy_Yard","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Navy_Yard"
"Bushwick","Brooklyn","11206,11207,11221,11233,11237,11385","38,55,37,53,54,56","303,405,305,316,301,304","7,8","37,41,30,34,36","73,75,81,83,90,104","12,25,18","-73.916837229838279","40.694533498159068","[ -73.91683722983828, 40.69453349815907 ]","Bushwick","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Bushwick"
"Bath Beach","Brooklyn","11209,11214,11228","47,46","311,310","11","43,50,47","62,68","22,23","-74.00668256036198","40.603589915353176","[ -74.00668256036198, 40.60358991535318 ]","Bath_Beach","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Bath_Beach"
"Bensonhurst","Brooklyn","11204,11214,11219,11223,11228,11230","49,47,48,45,46","311,312,315,310","10,11","44,43,50,38,47","61,62,66,68","17,22,23","-73.994761113372903","40.612899494903758","[ -73.9947611133729, 40.61289949490376 ]","Bensonhurst","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst"
"Vinegar Hill","Brooklyn","11201,11251","50,57,52","302","7,8","35,33","84,88","25,26","-73.983261078484603","40.701877068878971","[ -73.9832610784846, 40.70187706887897 ]","Vinegar_Hill","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Vinegar_Hill"
"Crown Heights","Brooklyn","11203,11212,11213,11216,11225,11233,11238","58,55,43,56,57","308,316,317,309,355","9","41,40,36,35","67,71,73,77,78","20,21,25","-73.941844810109373","40.668457030440742","[ -73.94184481010937, 40.66845703044074 ]","Crown_Heights","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights"
"East Flatbush","Brooklyn","11203,11210,11212,11213,11226,11234,11236","41,59,58,55,42,43","317,318,314,309","9,8","45,41,40,46,35,42","63,67,69,70,71","20,21,19","-73.933120277219643","40.648264211069112","[ -73.93312027721964, 40.64826421106911 ]","East_Flatbush","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush"
"Borough Park","Brooklyn","11204,11218,11219,11220,11223,11230,11232","49,47,48,44,51,45","311,312,315,307,310,314","10,11,9,7","44,39,43,38","61,62,66,68,70,72","17,22,23,20,21","-73.990368042540666","40.630459400238351","[ -73.99036804254067, 40.63045940023835 ]","Borough_Park","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Borough_Park"
"Sunset Park","Brooklyn","11209,11215,11219,11220,11232","49,44,64,51,52","312,307,310","10,11,9,7","39,43,38","66,68,72","17,22,23,20,21,25","-74.010426148561805","40.650523976994521","[ -74.01042614856181, 40.65052397699452 ]","Sunset_Park","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Sunset_Park"
"Canarsie","Brooklyn","11207,11212,11234,11236,11239","59,58,60","305,316,317,318,356","9,8","45,46,42","63,67,69,73,75","21,19","-73.898814845271346","40.638245649965114","[ -73.89881484527135, 40.63824564996511 ]","Canarsie","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Canarsie"
"Dyker Heights","Brooklyn","11209,11219,11220,11228","49,47,46","311,310","10,11,7","43,50,38","62,68","17,22,23","-74.013542294968175","40.61963469179382","[ -74.01354229496818, 40.61963469179382 ]","Dyker_Heights","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Dyker_Heights"
"Boerum Hill","Brooklyn","11201,11217","57,52","306,302","9,7,8","39,35,33","76,78,84,88","25,26","-73.985107402956274","40.686452862655607","[ -73.98510740295627, 40.68645286265561 ]","Boerum_Hill","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Boerum_Hill"
"Brooklyn Heights","Brooklyn","11201","65,52","306,302","7","39,33","76,84","25,26","-73.995241493588821","40.695344125539606","[ -73.99524149358882, 40.69534412553961 ]","Brooklyn_Heights","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Brooklyn_Heights"
"East New York","Brooklyn","11207,11208,11212,11233,11236,11239,11414","55,54,23,60","305,316,318,356,410","7,8","37,42,32","69,73,75,106","20,15,18,19","-73.878370891822172","40.660609898178144","[ -73.87837089182217, 40.66060989817814 ]","East_New_York","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/East_New_York"
"Gravesend","Brooklyn","11204,11214,11223,11224,11230,11235","47,48,45,46","311,313,312,315","10,11,8","44,47,48","60,61,62,66","17,22,23","-73.981747250666814","40.594529100915544","[ -73.98174725066681, 40.59452910091554 ]","Gravesend","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Gravesend"
"Windsor Terrace","Brooklyn","11215,11218,11226,11232","44,42,51","312,307,314,355","10,9,7","39,40,38","66,70,72,78","21","-73.977423138393135","40.653663816227414","[ -73.97742313839314, 40.65366381622741 ]","Windsor_Terrace","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Windsor_Terrace"
"Park Slope","Brooklyn","11215,11217,11238","44,57,52","308,306,355,302","9,7,8","39,38,35,33","78,84","20,21,25","-73.978660704741841","40.673580213812215","[ -73.97866070474184, 40.67358021381222 ]","Park_Slope","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Park_Slope"
"Fort Hamilton","Brooklyn","11209,11228","64,46","311,310","11","43,50,47","62,68","22,23","-74.031466741244259","40.615047149670531","[ -74.03146674124426, 40.61504714967053 ]","Fort_Hamilton","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton"
"Greenpoint","Brooklyn","11211,11222","37,53,50,74","402,301","12","34,33,26","90,94,108","12,27,26,18","-73.945976086167292","40.727770626163732","[ -73.94597608616729, 40.72777062616373 ]","Greenpoint","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Greenpoint"
"Flatbush","Brooklyn","11210,11215,11218,11226,11230","44,42,43","317,312,307,314,309,355","10,9","44,45,39,40,48","66,67,70,71,72,78","17,20,21","-73.959951393817349","40.642078260048805","[ -73.95995139381735, 40.64207826004881 ]","Flatbush","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Flatbush"
"Flatlands","Brooklyn","11203,11210,11234,11236","41,59,58,42","317,318,314","9,8","45,46,48","63,67,69,70","17,22,21,19","-73.92960999961295","40.626562870716945","[ -73.92960999961295, 40.62656287071695 ]","Flatlands","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Flatlands"
"Fort Greene","Brooklyn","11201,11205,11217,11238","50,57,52","308,302","9,7,8","35,33","77,78,84,88","25,26","-73.975002390524821","40.690620099629683","[ -73.97500239052482, 40.69062009962968 ]","Fort_Greene","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Fort_Greene"
"Prospect Heights","Brooklyn","11217,11238","57,52","308,306,355,302","9,8","35,33","77,78,88","20,21,25","-73.967051786353935","40.678092453037543","[ -73.96705178635393, 40.67809245303754 ]","Prospect_Heights","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Prospect_Heights"
"Prospect Park","Brooklyn","11215,11217,11218,11225,11226,11238","44,42,43,57,52","308,306,307,314,309,355","9","39,40,35,33","70,71,72,77,78","20,21","-73.968863302271728","40.662603249149072","[ -73.96886330227173, 40.66260324914907 ]","Prospect_Park","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Prospect_Park"
"Bedford-Stuyvesant","Brooklyn","11205,11206,11207,11211,11213,11216,11221,11233,11238","55,53,43,54,50,56,57","303,308,305,316,301,304,302","9,7,8","37,41,34,36,35,33","73,75,77,79,81,83,88,90","20,25,26,18,19","-73.937063604739137","40.684345335928924","[ -73.93706360473914, 40.68434533592892 ]","Bedford_Stuyvesant","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant"
"BoCoCa","Brooklyn","11201,11217,11231","52","306,302","7","39,33","76,84","25,26","-73.994618625160825","40.681974802308133","[ -73.99461862516083, 40.68197480230813 ]","BoCoCa","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/BoCoCa"
"Cobble Hill","Brooklyn","11201,11231","52","306,302","7","39,33","76,84","25,26","-73.99596161925561","40.687414544938761","[ -73.99596161925561, 40.68741454493876 ]","Cobble_Hill","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Cobble_Hill"
"Manhattan Beach","Brooklyn","11235","41,45","315","8","46,48","61","22,23","-73.942557586991896","40.578993323035952","[ -73.9425575869919, 40.57899332303595 ]","Manhattan_Beach","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Manhattan_Beach"
"South Brooklyn","Brooklyn",,"51,52","307","10,7","38","72","20,25","-73.994438168914755","40.666441908818591","[ -73.99443816891475, 40.66644190881859 ]","South_Brooklyn","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/South_Brooklyn"
"Cypress Hills","Brooklyn","11207,11208,11233,11385,11414,11416,11417,11421","38,55,54,23,60","405,305,316,304,409,410","7,8,6","37,30,32","73,75,83,102,104,106","12,15,18,19","-73.879992566546733","40.683280417219606","[ -73.87999256654673, 40.68328041721961 ]","Cypress_Hills","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Cypress_Hills"
"Green-Wood Cemetery","Brooklyn","11215,11218,11232","44,51","312,307","10,9,7","39,38","66,72","20,21","-73.990236925265577","40.652116031656149","[ -73.99023692526558, 40.65211603165615 ]","Green_Wood_Cemetery","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Green_Wood_Cemetery"
"Floyd Bennett Field","Brooklyn","11234,11235","59","318,356","8","46","61,63","22,19","-73.89464800474677","40.591015101426798","[ -73.89464800474677, 40.5910151014268 ]","Floyd_Bennett_Field","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Floyd_Bennett_Field"
"Downtown Brooklyn","Brooklyn","11201,11217","50,57,52","302","7,8","35,33","84,88","25,26","-73.986549746153457","40.694763649805452","[ -73.98654974615346, 40.69476364980545 ]","Downtown_Brooklyn","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn"
"Columbia St","Brooklyn","11201,11231","65,51,52","306,302","10,7","39,38,33","76,84","25,26","-74.004280204782532","40.684421549885577","[ -74.00428020478253, 40.68442154988558 ]","Columbia_St","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Columbia_St"
"Coney Island","Brooklyn","11214,11224","46","313","11,8","47","60","23","-73.992374074361422","40.575695741607738","[ -73.99237407436142, 40.57569574160774 ]","Coney_Island","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Coney_Island"
"Brownsville","Brooklyn","11207,11212,11233,11236","58,55,60","305,316,317,318","9,8","37,41,42","67,69,73,75","20,21,25,18,19","-73.909748961660767","40.664045829496963","[ -73.90974896166077, 40.66404582949696 ]","Brownsville","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Brownsville"
"Red Hook","Brooklyn","11231","51,52","306,307","10,7","39,38","72,76","25,26","-74.009307335976317","40.674775054449","[ -74.00930733597632, 40.674775054449 ]","Red_Hook","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Red_Hook"
"Prospect-Lefferts Gardens","Brooklyn","11203,11213,11215,11225,11226","42,43,57","317,314,309,355","9","41,40,35","67,70,71,78","20,21","-73.950953951112666","40.659580405831008","[ -73.95095395111267, 40.65958040583101 ]","Prospect_Lefferts_Gardens","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Prospect_Lefferts_Gardens"
"Williamsburg","Brooklyn","11205,11206,11211,11222,11237,11251,11385","37,53,50,56,74","303,405,301,304,302","12,7","34,36,35,33,26","79,81,83,88,90,94,104","12,27,26,18","-73.947445634053409","40.710806302328756","[ -73.94744563405341, 40.71080630232876 ]","Williamsburg","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg"
"Longwood","Bronx","10451,10454,10455,10456,10459,10474","79,85,84","203,201,209,202","15","18,16,17","40,41,42,43","32,34,29","-73.900392542598112","40.820810644386405","[ -73.90039254259811, 40.82081064438641 ]","Longwood","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Longwood"
"Olinville","Bronx","10466,10467","83,80,81","212,211,227","14,16","13,12,11","47,49,52","36,34","-73.867799214096109","40.876741070225883","[ -73.86779921409611, 40.87674107022588 ]","Olinville","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Olinville"
"Schuylerville","Bronx","10461,10465","82","211,210","14","13","45,49","34","-73.832291471666196","40.837258830128654","[ -73.8322914716662, 40.83725883012865 ]","Schuylerville","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Schuylerville"
"Co-op City","Bronx","10475","82","212,210,228","14,16","13,12","45,47","36,34","-73.826825464366053","40.872810107571311","[ -73.82682546436605, 40.87281010757131 ]","Co_op_City","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Co_op_City"
"Riverdale","Bronx","10463,10471","81","208","16","11","50","34","-73.912844400205898","40.893163558528023","[ -73.9128444002059, 40.89316355852802 ]","Riverdale","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Riverdale"
"Country Club","Bronx","10461,10465","82","210,228","14","13","45","34","-73.82052119831684","40.841530926958143","[ -73.82052119831684, 40.84153092695814 ]","Country_Club","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Country_Club"
"Westchester Square","Bronx","10461,10462,10469","82,87,80","211,209,210","14","18,13","43,45,49","32,34","-73.843568086348313","40.846797670180486","[ -73.84356808634831, 40.84679767018049 ]","Westchester_Square","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Westchester_Square"
"Mount Eden","Bronx","10452,10453,10456,10457","77,84,86","204","15","16,14","44","33,29","-73.917430395961077","40.841461799022831","[ -73.91743039596108, 40.84146179902283 ]","Mount_Eden","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Mount_Eden"
"Kingsbridge","Bronx","10453,10463,10467,10468,10471","78,86,80,72,81","226,207,208","15,13,16","15,14,10,11","50,52","36,34,31,33","-73.900540880958218","40.875958385539541","[ -73.90054088095822, 40.87595838553954 ]","Kingsbridge","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Kingsbridge"
"Morrisania","Bronx","10451,10456,10459","79","203,202","15","16,17,15","41,42","32,33","-73.904174485511234","40.829594016339293","[ -73.90417448551123, 40.82959401633929 ]","Morrisania","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Morrisania"
"University Heights","Bronx","10453,10468","78,77,86","205,207","15,13","16,14","46,52","33,29","-73.910244935232271","40.858401769917926","[ -73.91024493523227, 40.85840176991793 ]","University_Heights","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/University_Heights"
"West Farms","Bronx","10460,10462","79,78,87,85","203,206","15,14","15","42,48","32,33","-73.881747311004105","40.842631278457283","[ -73.8817473110041, 40.84263127845728 ]","West_Farms","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/West_Farms"
"Throgs Neck","Bronx","10461,10465","82","210","14","13","45","34","-73.822009336068021","40.819916904662534","[ -73.82200933606802, 40.81991690466253 ]","Throgs_Neck","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Throgs_Neck"
"Morris Heights","Bronx","10452,10453","77,86","205,204","15,13","16,14","44,46","33,29","-73.918014627010677","40.849963041673746","[ -73.91801462701068, 40.84996304167375 ]","Morris_Heights","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Morris_Heights"
"Allerton","Bronx","10467,10469","83,80","212,211","14,16","13,12,11","47,49","36,34","-73.861253886869363","40.865562633981213","[ -73.86125388686936, 40.86556263398121 ]","Allerton","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Allerton"
"Concourse Village","Bronx","10451,10452,10456","79,77,84","203,201,204","15","16,17","40,42,44","32,33,29","-73.917012032742974","40.828572774619531","[ -73.91701203274297, 40.82857277461953 ]","Concourse_Village","http://schema.org","Neighborhood","http://nyc.pediacities.com/Resource/Neighborhood/Concourse_Village"
